,x,y,counts
329,213.3612268999987,276.15260032297766,43
330,213.3612268999987,276.15260032297766,50
331,212.2302127603628,273.228173751414,46
332,212.2302127603628,273.228173751414,34
333,210.19776448687125,269.64769711401425,56
334,209.2623256904084,268.1465656040358,45
335,209.2623256904084,268.1465656040358,54
336,207.1618264409483,265.7447551884947,43
337,207.1618264409483,265.7447551884947,54
338,204.6531258175414,263.3429447722463,56
339,201.93181166386228,261.5527064535464,40
340,200.53713488825653,260.86329790901937,38
341,200.53713488825653,260.86329790901937,41
342,197.66273838856014,259.5400782820928,35
343,196.40412543076943,259.0619400971867,44
344,195.1455121064905,258.606040897839,43
345,194.04847592501656,258.3280535808358,44
346,194.04847592501656,258.3280535808358,41
347,192.007476791164,257.9277518450301,42
348,192.007476791164,257.9277518450301,42
349,189.54977221904312,257.5496890947828,35
350,189.54977221904312,257.5496890947828,39
351,187.0325346541246,257.4607331532569,59
352,187.0325346541246,257.4607331532569,52
353,184.92349888244857,257.2939407633379,52
354,183.60535091061226,257.23834330050306,55
355,180.8840140181432,257.04931192431843,63
356,180.8840140181432,257.04931192431843,60
357,178.40079765064038,256.5711737394124,47
358,178.40079765064038,256.5711737394124,63
359,176.46185535330628,255.5481804150473,72
360,176.46185535330628,255.5481804150473,77
361,174.35283586082818,253.9358539779847,78
362,174.35283586082818,253.9358539779847,85
363,172.93265320665066,252.490319932963,95
364,172.93265320665066,252.490319932963,120
365,170.8406500794302,250.0996290091401,147
366,170.03276238716384,249.18783061115192,149
367,170.03276238716384,249.18783061115192,177
368,168.75714824786337,247.9090889546346,182
369,166.54609212491292,244.88458694982674,126
370,165.93380275809392,243.7503986983774,118
371,165.93380275809392,243.7503986983774,101
372,164.76875395154542,241.40418574567119,96
373,164.29253613033043,239.8363372804324,87
374,50.132035614333475,297.69105761304,22
375,50.132035614333475,297.69105761304,22
376,163.7227719402871,238.27960830691185,63
377,50.60825879658096,300.6488426625875,32
378,163.7227719402871,238.27960830691185,66
379,50.60825879658096,300.6488426625875,32
